N,P,K,temperature,humidity,ph,rainfall,label
20.22,15.61,11.72,13.91,90.91,6.97,119.17,orange
24.95,19.67,40.87,23.91,90.13,5.63,100.14,pomegranate
22.84,66.96,23.4,23.24,22.56,6.43,117.62,kidneybeans
101.72,19.26,51.48,24.4,88.47,6.17,42.52,watermelon
30.33,51.61,29.23,31.72,89.81,6.81,97.03,mungbean
39.28,62.67,24.35,34.94,68.54,6.11,92.16,blackgram
82.94,52.64,44.48,22.05,83.29,6.51,275.24,rice
63.11,59.49,49.86,24.89,85.36,5.96,281.38,rice
117.18,51.98,47.24,24.19,79.06,6.76,70.34,cotton
119.8,46.73,47.86,26.19,80.3,6.3,76.78,cotton
36.3,80.56,27.13,19.31,40.88,6.4,136.83,pigeonpeas
19.68,17.06,15.24,13.98,93.09,6.2,112.15,orange
49.44,70.25,18.62,31.76,69.29,6.3,71.74,blackgram
23.3,72.13,19.17,22.38,68.32,6.17,44.64,lentil
105.67,83.38,53.9,28.61,76.17,5.66,149.28,banana
22.36,19.13,35.02,29.01,59.81,5.84,179.35,mango
73.67,51.14,23.96,22.46,62.21,6.39,109.48,maize
20.24,133.82,204.22,22.36,90.84,5.51,112.45,apple
18.36,16.12,45.96,23.34,88.92,5.85,193.25,pomegranate
24.54,20.42,32.69,28.13,50.01,6.43,108.76,mango
119.58,46.49,45.22,26.34,81.93,7.27,73.12,cotton
38.66,40.4,19.85,33.86,89.59,6.56,79.78,mungbean
33.94,77.97,21.3,19.09,46.36,6.2,117.94,pigeonpeas
50.24,73.6,75.83,15.68,21.88,6.22,62.85,chickpea
23.39,133.74,204.05,21.65,94.59,6.37,110.71,apple
102.85,27.77,28.19,25.82,59.89,6.82,164.21,coffee
34.73,82.66,20.43,22.11,47.01,6.36,140.82,pigeonpeas
79.73,46.26,40.43,26.79,79.02,6.63,181.86,jute
77.3,48.42,43.42,24.45,82.28,6.24,187.35,jute
78.38,47.45,39.52,25.76,80.44,6.66,170.31,jute
50.46,59.86,52.32,35.55,96.94,6.98,152.7,papaya
21.51,69.1,23.27,17.06,67.28,7.09,40.89,lentil
21.03,129.52,206.93,13.66,84.88,6.98,65.98,grapes
98.5,45.04,44.97,22.11,82.85,5.56,260.96,rice
21.45,21.8,10.5,14.51,90.76,6.59,118.51,orange
25.67,48.01,27.74,25.14,91.49,6.67,87.92,mungbean
24.54,23.67,30.64,33.23,56.09,6.91,137.36,mango
33.03,74.77,21.79,22.51,20.77,6.57,109.96,kidneybeans
21.91,133.17,201.44,13.19,82.92,6.74,55.08,grapes
26.32,41.14,27.2,32.02,88.31,6.68,63.76,mungbean
21.04,21.65,15.99,11.86,91.79,7.29,119.99,orange
34.1,74.1,26.01,23.86,41.7,5.04,177.91,pigeonpeas
107.3,77.19,52.36,25.37,82.56,5.77,157.4,banana
99.2,49.85,43.29,24.43,82.4,5.61,212.89,rice
27.09,67.11,20.67,21.63,46.08,5.49,105.77,pigeonpeas
22.92,24.6,43.31,22.8,94.68,6.46,129.82,pomegranate
99.05,33.03,31.16,25.01,60.81,6.19,162.49,coffee
100.58,17.55,48.26,30.33,89.84,6.15,26.54,muskmelon
31.76,75.54,23.63,29.45,67.15,6.17,89.73,blackgram
54.04,60.58,51.25,35.08,91.04,6.96,148.09,papaya
54.03,64.03,51.87,34.81,92.56,6.88,140.78,papaya
23.09,24.83,39.56,21.58,89.48,6.69,118.69,pomegranate
36.85,66.27,27.47,24.24,21.04,6.86,118.87,kidneybeans
41.98,68.03,91.0,16.63,20.11,8.2,84.64,chickpea
23.8,40.78,22.7,33.02,88.41,6.44,80.54,mungbean
38.35,57.75,25.51,33.08,85.69,6.33,58.82,mungbean
21.46,16.18,29.1,29.43,56.98,6.37,129.58,mango
37.41,77.63,24.39,18.81,46.06,5.23,133.72,pigeonpeas
103.45,20.31,48.51,31.28,91.94,6.85,26.01,muskmelon
22.09,23.16,35.92,30.11,50.47,6.4,160.44,mango
28.88,50.64,28.48,34.96,61.65,6.34,82.69,mothbeans
32.5,76.43,27.99,24.34,40.12,6.35,105.18,pigeonpeas
100.41,21.72,48.37,30.84,92.26,6.48,22.23,muskmelon
66.97,53.82,43.87,26.56,81.38,6.01,211.35,rice
22.97,16.07,43.18,20.26,91.98,6.88,196.84,pomegranate
101.5,18.74,50.41,30.77,94.08,6.85,29.73,muskmelon
37.18,79.97,23.27,22.27,41.6,6.35,117.93,pigeonpeas
22.78,127.87,211.16,23.05,95.84,5.56,112.85,apple
29.66,59.74,27.05,27.49,90.38,6.99,91.45,mungbean
64.54,53.43,45.2,25.41,85.2,6.78,255.19,rice
21.0,61.46,22.83,20.07,19.63,5.92,140.17,kidneybeans
23.88,130.74,207.74,23.7,94.27,6.05,117.13,apple
70.61,44.88,49.73,22.75,88.92,6.45,279.48,rice
24.61,19.89,31.39,34.39,50.24,5.74,154.89,mango
52.78,65.53,52.64,37.36,95.79,6.36,152.0,papaya
33.19,53.76,19.44,34.39,53.62,5.68,72.27,mothbeans
121.85,49.44,46.58,23.34,78.29,7.47,71.47,cotton
21.39,16.57,43.52,25.89,94.98,6.15,132.03,pomegranate
34.09,73.45,22.16,20.78,42.64,5.41,148.3,pigeonpeas
48.5,61.2,52.04,37.27,96.82,6.44,141.21,papaya
22.56,77.34,24.26,23.36,64.57,7.09,47.41,lentil
66.96,60.17,21.96,20.4,68.18,6.7,99.51,maize
50.14,60.83,77.97,22.89,24.62,6.01,98.07,chickpea
100.21,18.48,49.63,29.97,94.98,6.71,25.8,muskmelon
117.65,51.62,46.27,25.97,81.0,6.95,66.65,cotton
37.81,61.59,26.78,19.31,24.01,6.73,127.04,kidneybeans
53.16,79.99,75.96,22.82,18.48,8.61,91.3,chickpea
21.59,51.32,28.9,28.96,87.96,6.14,49.09,mungbean
103.9,27.51,29.99,25.73,59.74,6.38,166.36,coffee
102.34,32.83,32.02,26.4,62.46,6.3,153.65,coffee
19.34,18.08,14.78,13.05,90.66,6.94,111.87,orange
103.38,17.21,48.55,26.36,90.85,6.16,57.09,watermelon
20.14,20.31,12.23,11.22,94.37,6.63,119.81,orange
18.77,127.42,203.71,14.19,82.75,6.46,68.16,grapes
103.91,31.98,30.93,27.1,65.0,6.71,165.23,coffee
28.65,65.62,21.11,18.24,48.79,5.49,155.73,pigeonpeas
19.54,19.29,33.57,32.82,50.01,6.81,116.45,mango
21.24,132.32,204.15,21.19,92.74,5.61,117.99,apple
18.72,19.32,30.61,31.13,52.53,6.82,190.59,mango
20.66,24.2,44.15,22.88,94.54,5.57,121.03,pomegranate
100.03,32.01,33.66,26.36,61.55,6.03,151.39,coffee
24.09,76.82,20.23,20.32,48.55,5.41,107.12,pigeonpeas
101.36,28.88,28.39,26.23,58.37,6.55,156.15,coffee
21.25,129.84,211.39,8.03,82.74,6.89,68.98,grapes
121.02,50.16,47.55,24.79,78.39,6.1,68.7,cotton
18.79,21.13,46.62,23.34,94.96,6.52,107.41,pomegranate
49.9,62.92,54.84,33.56,91.48,6.47,159.37,papaya
22.62,127.29,199.7,21.45,91.53,6.26,119.66,apple
36.68,71.59,24.0,32.55,68.16,6.52,66.79,blackgram
36.77,81.1,27.88,24.53,45.44,5.4,161.68,pigeonpeas
99.12,17.88,53.74,25.66,88.15,6.29,45.96,watermelon
54.21,62.5,49.76,37.77,93.38,6.33,143.63,papaya
30.79,60.44,22.97,29.08,67.34,6.61,79.99,blackgram
22.4,127.2,203.77,8.32,84.49,6.33,63.38,grapes
22.05,72.37,23.47,21.63,69.01,6.11,47.48,lentil
87.84,48.18,41.73,21.1,82.5,6.32,271.46,rice
101.14,31.91,31.04,26.25,63.32,6.17,156.77,coffee
54.92,61.76,49.79,37.46,93.44,6.6,141.91,papaya
53.02,70.91,76.25,19.1,22.87,7.38,62.08,chickpea
103.24,33.44,31.14,26.61,63.19,6.7,167.81,coffee
79.71,47.6,42.88,25.43,83.85,6.68,183.69,jute
23.26,44.68,18.28,33.35,69.49,3.97,73.15,mothbeans
24.0,19.56,39.99,22.97,90.7,6.87,176.19,pomegranate
48.46,65.8,52.77,35.09,94.91,6.76,155.6,papaya
25.37,70.75,25.88,24.78,46.04,5.15,107.56,pigeonpeas
23.47,125.55,201.98,23.28,90.48,6.78,110.92,apple
33.48,65.2,22.14,24.42,20.03,6.2,144.51,kidneybeans
19.55,19.32,13.2,11.09,90.99,6.36,115.03,orange
35.08,51.56,28.85,33.17,65.14,3.69,50.69,mothbeans
81.95,53.84,46.52,21.57,87.12,5.86,232.54,rice
32.98,59.09,19.82,29.77,91.02,6.58,64.09,mungbean
99.91,21.65,53.29,24.62,87.36,6.81,53.91,watermelon
18.07,16.76,46.08,25.4,94.41,6.78,168.32,pomegranate
19.17,17.9,29.12,27.9,91.58,5.03,153.78,coconut
19.3,14.44,31.68,27.88,93.85,7.6,147.33,coconut
81.73,51.91,38.31,24.45,80.96,6.19,177.28,jute
24.26,18.41,42.11,26.29,94.27,6.53,185.9,pomegranate
39.76,69.08,26.26,18.98,21.4,5.54,125.27,kidneybeans
33.55,48.57,26.78,33.24,52.93,6.42,104.03,mothbeans
80.6,45.89,38.34,26.63,78.56,6.15,170.44,jute
32.41,64.03,22.74,18.28,21.33,6.31,111.39,kidneybeans
69.7,45.38,43.77,20.14,83.22,5.82,232.75,rice
23.13,64.66,23.69,20.71,65.26,6.47,46.28,lentil
52.36,60.86,53.91,35.27,95.09,6.1,147.92,papaya
22.8,24.54,40.68,25.68,88.39,6.31,107.06,pomegranate
21.02,17.72,13.35,12.88,90.99,6.6,113.43,orange
59.37,75.97,80.86,22.84,20.62,7.75,89.92,chickpea
77.45,46.9,43.38,26.56,83.45,6.63,180.28,jute
24.25,22.81,41.32,25.21,89.06,5.7,134.56,pomegranate
119.79,49.51,45.68,25.88,82.14,7.04,75.23,cotton
27.95,59.48,24.53,27.75,64.19,4.45,140.42,mothbeans
30.18,57.23,28.39,25.1,92.78,6.46,99.33,mungbean
19.73,129.86,207.93,13.28,83.5,6.37,60.13,grapes
32.71,47.12,19.78,30.96,93.14,6.38,47.94,mungbean
23.96,65.72,22.48,18.51,69.75,6.07,45.8,lentil
118.73,50.42,43.57,24.31,77.86,7.87,69.37,cotton
38.3,70.66,19.9,22.87,23.55,5.98,142.86,kidneybeans
23.61,19.11,30.61,30.25,58.26,4.68,152.44,mango
99.02,17.82,48.76,29.89,93.42,6.87,27.49,muskmelon
38.36,65.6,28.3,20.05,24.38,6.63,140.25,kidneybeans
21.32,16.5,12.6,10.99,93.29,6.17,110.23,orange
25.2,68.19,19.93,18.49,41.86,6.33,188.17,pigeonpeas
72.77,55.96,19.92,26.86,61.14,6.84,73.8,maize
79.72,51.7,44.21,24.51,81.31,6.97,177.45,jute
99.09,33.96,31.8,26.42,64.68,6.16,153.78,coffee
118.7,49.0,44.68,25.64,77.4,6.99,69.44,cotton
69.07,57.87,21.09,21.61,63.39,5.73,70.92,maize
19.07,67.33,20.61,17.21,68.79,7.41,41.9,lentil
34.15,61.24,19.77,18.05,22.42,6.17,106.71,kidneybeans
21.57,20.91,41.59,20.57,89.35,6.93,140.87,pomegranate
52.68,64.23,53.43,35.68,95.58,6.6,146.29,papaya
96.53,50.23,45.02,25.59,86.5,6.55,279.58,rice
27.82,69.68,20.63,24.72,46.16,6.11,141.58,pigeonpeas
101.85,18.91,51.85,29.97,92.52,6.72,21.1,muskmelon
38.19,43.8,27.86,30.45,85.78,6.96,54.82,mungbean
27.89,68.44,22.93,24.35,23.0,6.41,115.47,kidneybeans
65.54,58.89,24.39,19.9,64.34,6.45,103.99,maize
80.93,47.34,44.17,25.84,83.76,6.55,174.37,jute
37.58,71.44,24.21,21.01,20.22,6.15,138.69,kidneybeans
43.55,70.9,94.69,22.5,14.47,6.49,65.27,chickpea
119.36,51.13,44.66,24.14,84.17,7.72,67.46,cotton
31.12,55.59,18.19,33.18,50.8,6.61,149.2,mothbeans
21.99,134.53,207.84,20.17,95.44,6.23,114.6,apple
54.13,59.51,51.84,33.12,95.35,6.58,152.51,papaya
18.34,17.72,45.91,23.18,90.11,6.08,185.44,pomegranate
119.03,48.98,46.74,25.79,84.96,6.03,70.33,cotton
20.52,19.75,31.54,32.13,59.01,4.49,138.14,mango
20.36,127.95,208.25,8.79,85.68,6.84,55.87,grapes
23.38,20.97,31.36,29.1,51.22,5.53,158.53,mango
101.25,30.45,30.09,25.48,58.33,6.2,161.64,coffee
101.34,33.03,31.53,27.05,62.12,6.84,155.69,coffee
120.39,49.08,45.32,26.44,77.81,6.69,73.07,cotton
22.98,45.36,22.33,29.08,63.59,3.7,53.47,mothbeans
21.94,16.06,34.7,27.44,93.31,5.45,156.72,coconut
21.81,14.91,29.03,26.69,95.78,7.08,148.03,coconut
19.19,15.73,34.79,26.05,93.73,7.8,144.74,coconut
22.1,130.77,210.22,23.45,92.23,5.81,117.75,apple
19.36,21.63,12.78,10.29,94.38,6.49,116.53,orange
23.62,23.97,32.63,30.64,50.31,6.64,101.3,mango
23.58,20.9,29.68,31.38,57.03,6.38,162.91,mango
19.53,18.33,12.7,13.54,93.74,6.97,117.14,orange
110.44,72.89,49.34,29.2,85.87,6.84,111.76,banana
23.15,133.45,202.16,21.42,95.44,6.85,119.76,apple
21.68,128.86,198.93,9.05,85.18,5.91,56.19,grapes
44.19,79.67,16.45,28.77,68.6,6.28,71.45,blackgram
39.1,70.45,21.59,18.54,21.5,6.69,135.35,kidneybeans
18.35,130.13,200.42,11.1,81.43,5.9,66.53,grapes
121.64,46.8,43.62,24.65,78.95,6.26,77.86,cotton
18.9,74.4,18.71,20.99,66.14,7.58,42.34,lentil
113.35,72.15,54.1,27.23,80.14,5.71,143.95,banana
24.67,52.51,26.96,27.19,51.2,3.96,110.6,mothbeans
22.25,131.47,211.34,23.18,90.24,6.0,114.71,apple
77.44,49.42,41.53,25.58,84.49,6.03,185.47,jute
24.16,79.31,20.39,18.71,64.04,7.36,48.25,lentil
101.88,27.86,32.83,27.2,58.3,6.68,158.29,coffee
18.86,17.98,11.12,13.87,92.85,6.53,113.61,orange
19.01,75.18,21.5,23.29,64.88,7.29,42.33,lentil
48.18,75.21,22.09,30.41,65.92,6.76,81.6,blackgram
104.22,75.76,49.25,29.51,80.96,5.87,144.84,banana
26.03,71.97,21.57,20.1,23.2,5.57,145.14,kidneybeans
22.36,16.09,39.95,23.44,94.65,6.08,142.44,pomegranate
80.79,45.72,39.62,25.18,79.19,6.49,179.43,jute
54.99,58.57,48.3,34.09,96.8,6.98,153.1,papaya
22.73,77.17,24.74,21.03,65.1,6.21,48.13,lentil
22.4,17.98,32.56,26.69,90.3,5.01,150.18,coconut
21.43,68.19,21.73,22.74,22.24,6.05,110.89,kidneybeans
39.21,63.94,29.42,24.96,22.98,6.97,128.48,kidneybeans
36.99,40.9,26.81,28.41,59.57,6.75,83.2,mothbeans
54.4,65.91,54.12,37.99,91.71,6.84,156.46,papaya
57.2,74.46,76.35,20.66,19.98,6.25,78.33,chickpea
99.99,19.05,49.1,26.01,90.28,6.11,49.36,watermelon
18.51,24.54,30.56,34.38,54.26,6.96,155.41,mango
22.64,19.08,30.96,32.85,52.42,4.52,152.98,mango
68.7,53.7,23.73,25.19,65.42,5.91,95.41,maize
107.67,73.83,52.67,26.42,83.79,6.38,144.57,banana
67.27,43.67,43.04,23.67,84.32,5.94,261.19,rice
21.62,59.85,19.87,34.88,69.55,6.28,115.94,mothbeans
24.26,132.57,206.55,21.46,91.26,6.66,114.86,apple
28.6,73.46,21.3,20.14,23.52,6.17,139.92,kidneybeans
19.86,73.44,18.36,16.91,64.02,8.0,48.02,lentil
45.04,75.1,84.21,21.74,22.01,8.33,86.25,chickpea
20.09,63.34,26.56,22.66,24.76,6.64,147.54,kidneybeans
121.64,45.66,44.22,25.84,78.81,7.31,67.46,cotton
25.42,76.95,28.39,24.63,41.06,5.31,194.47,pigeonpeas
43.76,67.11,90.68,19.43,14.06,8.28,61.41,chickpea
52.39,73.0,78.04,15.49,22.59,7.38,62.33,chickpea
103.52,18.46,51.67,29.91,91.58,6.78,25.27,muskmelon
21.88,132.47,201.02,8.75,84.38,6.27,67.44,grapes
21.17,78.91,22.74,18.41,65.13,6.61,40.93,lentil
21.11,135.0,200.4,23.09,91.34,5.62,118.75,apple
39.39,47.56,18.74,28.39,90.06,6.16,79.49,mungbean
21.09,84.46,20.71,20.13,43.04,5.46,100.15,pigeonpeas
57.53,79.93,82.37,18.59,21.94,8.66,83.72,chickpea
118.21,48.43,42.44,23.14,80.75,6.8,67.05,cotton
50.71,64.3,75.24,16.93,24.73,8.4,98.38,chickpea
33.87,80.42,25.86,19.06,48.76,6.08,128.25,pigeonpeas
20.28,122.36,203.56,13.14,87.67,6.28,67.29,grapes
24.77,126.29,207.76,22.02,90.15,6.89,118.52,apple
33.73,61.39,20.1,23.99,19.59,6.76,113.96,kidneybeans
47.17,76.9,19.24,33.5,66.56,6.06,89.55,blackgram
38.11,63.38,24.8,34.83,67.49,6.6,72.95,blackgram
20.5,81.78,18.14,22.93,49.7,5.88,123.5,pigeonpeas
100.83,32.33,31.4,25.6,58.87,6.35,152.75,coffee
23.81,68.31,19.81,22.94,68.02,6.9,44.88,lentil
117.13,45.64,46.12,24.72,83.92,7.39,65.12,cotton
22.18,16.74,12.59,13.34,92.58,6.66,110.66,orange
21.15,23.53,43.72,26.99,90.01,5.92,115.97,pomegranate
20.17,19.92,11.1,13.05,94.36,6.47,118.29,orange
22.65,128.22,199.05,23.58,94.82,5.71,117.77,apple
35.46,44.74,26.13,30.66,68.58,4.86,56.62,mothbeans
100.14,29.67,32.58,25.23,62.23,6.93,167.01,coffee
19.22,66.75,18.13,19.2,67.3,7.24,46.63,lentil
69.61,51.57,19.69,26.88,57.14,6.25,97.09,maize
61.35,58.73,20.42,23.59,55.69,6.81,118.41,maize
18.27,17.75,43.37,26.54,93.84,6.76,130.32,pomegranate
103.92,21.27,54.27,30.64,90.76,6.89,22.92,muskmelon
76.3,51.2,24.26,22.93,67.26,6.18,98.61,maize
32.88,47.62,18.65,30.99,94.02,6.38,52.98,mungbean
80.13,45.52,39.33,25.01,78.55,6.19,188.23,jute
67.92,61.37,22.87,19.39,67.24,5.84,73.43,maize
18.44,63.75,18.23,21.95,68.34,6.27,48.36,lentil
54.91,64.05,94.16,17.94,17.6,6.45,72.22,chickpea
28.66,51.91,18.97,34.4,92.55,6.59,89.71,mungbean
19.69,15.49,31.92,26.6,93.6,7.76,148.01,coconut
22.59,15.76,30.64,26.82,94.01,5.33,145.41,coconut
117.13,45.63,43.72,26.89,81.47,6.75,78.33,cotton
29.93,65.69,19.61,22.41,18.38,6.62,115.88,kidneybeans
44.56,64.24,87.22,18.29,23.24,8.7,74.14,chickpea
20.0,54.24,22.28,27.54,50.26,5.39,135.12,mothbeans
100.29,30.81,33.18,26.82,60.74,6.12,165.62,coffee
33.41,67.69,19.12,31.45,68.91,6.48,92.79,blackgram
119.23,47.16,45.64,23.74,82.02,6.35,65.96,cotton
63.51,63.72,20.93,21.45,62.78,5.57,69.98,maize
20.01,57.41,27.51,31.27,65.01,4.03,95.83,mothbeans
18.59,79.69,22.66,18.28,67.51,6.22,49.66,lentil
22.42,68.38,27.01,18.5,18.56,6.03,147.09,kidneybeans
102.25,83.21,49.29,26.26,81.1,6.07,179.47,banana
102.61,17.14,51.1,24.21,87.73,6.74,47.73,watermelon
22.23,128.31,207.68,15.95,84.47,5.97,66.3,grapes
22.07,78.58,21.48,22.74,66.68,7.42,47.32,lentil
39.5,77.96,20.73,33.66,66.26,6.45,69.32,blackgram
69.97,48.21,47.56,21.6,80.77,5.93,216.12,rice
23.24,18.45,39.18,21.76,94.45,6.37,153.35,pomegranate
24.52,15.05,34.24,34.22,51.4,4.29,142.46,mango
21.63,17.35,31.61,27.75,90.49,5.98,143.01,coconut
120.83,51.27,46.74,23.78,81.8,6.66,65.14,cotton
21.67,44.22,27.03,25.51,59.85,5.05,83.44,mothbeans
39.53,52.91,29.21,28.03,92.82,6.77,81.5,mungbean
23.96,77.28,20.85,22.1,64.86,6.02,40.2,lentil
21.62,127.23,206.82,11.07,83.11,6.37,62.47,grapes
22.86,78.84,20.48,20.74,48.96,5.41,150.78,pigeonpeas
106.59,72.51,51.47,27.72,77.53,6.64,198.49,banana
70.4,55.06,23.8,21.88,58.73,6.43,102.41,maize
108.89,75.08,49.33,28.35,75.01,6.71,107.92,banana
101.23,22.0,53.85,31.57,94.59,6.1,22.27,muskmelon
18.27,128.2,205.07,9.35,81.73,5.69,56.52,grapes
22.47,64.71,23.0,22.99,64.76,7.73,45.94,lentil
102.83,18.65,53.02,25.16,86.48,6.63,59.52,watermelon
113.39,83.65,49.23,27.99,81.36,6.17,125.41,banana
22.79,131.51,200.16,22.59,91.1,6.63,113.39,apple
23.15,18.01,32.24,31.8,51.71,6.22,130.26,mango
26.47,53.3,24.68,28.43,52.69,3.83,133.15,mothbeans
115.57,73.57,52.21,25.17,82.46,5.73,118.29,banana
21.28,17.7,15.02,14.75,94.83,6.57,117.89,orange
19.46,17.26,12.63,11.54,95.91,7.22,111.65,orange
23.38,134.6,201.55,23.5,95.54,6.51,119.31,apple
77.41,48.02,43.8,25.42,83.81,6.73,174.19,jute
19.27,22.12,31.69,30.22,57.83,6.89,112.67,mango
81.25,50.81,46.37,25.08,89.76,6.27,232.3,rice
22.43,124.66,204.49,12.23,87.12,6.64,62.7,grapes
47.83,68.25,88.91,15.03,20.82,7.07,91.77,chickpea
48.78,63.78,49.87,37.1,96.97,6.08,149.46,papaya
76.2,53.82,22.77,24.84,63.93,6.21,84.71,maize
102.86,19.97,50.87,31.58,89.3,7.0,21.19,muskmelon
50.74,62.71,49.93,33.88,95.42,6.95,142.01,papaya
77.37,45.63,42.56,25.46,83.53,6.92,177.77,jute
72.48,51.75,24.58,23.65,60.02,5.71,107.64,maize
20.5,134.32,203.24,20.32,92.32,6.4,115.14,apple
28.04,68.07,24.87,19.94,49.21,6.17,159.28,pigeonpeas
99.11,28.63,33.3,26.76,63.48,6.75,151.01,coffee
20.86,128.58,202.07,22.46,95.42,6.94,116.54,apple
20.71,17.76,32.0,26.72,92.08,6.56,152.64,coconut
18.1,71.34,24.53,21.33,68.94,6.03,45.42,lentil
23.21,21.19,34.62,30.45,57.86,5.39,194.1,mango
100.86,20.32,51.88,29.69,92.53,6.37,29.36,muskmelon
77.65,48.2,39.9,25.06,78.66,6.43,189.67,jute
117.72,48.91,43.11,23.16,77.29,7.66,73.87,cotton
18.59,19.83,12.45,11.03,92.42,6.11,116.95,orange
24.17,24.48,45.4,20.61,92.68,6.12,147.07,pomegranate
41.01,63.06,22.55,32.8,68.66,6.77,99.14,blackgram
87.39,43.25,49.11,25.76,89.5,6.59,261.34,rice
25.73,56.05,29.97,25.3,67.95,5.68,147.34,mothbeans
103.49,21.68,50.78,28.87,90.99,6.33,21.76,muskmelon
100.65,19.57,54.11,24.14,87.7,6.16,53.91,watermelon
20.63,78.47,21.81,18.16,68.21,7.32,49.89,lentil
25.39,68.82,26.34,19.53,45.95,5.53,166.2,pigeonpeas
22.27,124.9,210.27,8.17,86.13,6.9,64.86,grapes
22.94,46.85,28.38,26.55,51.65,5.2,80.24,mothbeans
24.17,16.7,45.07,26.44,89.89,6.06,156.89,pomegranate
81.18,51.55,44.92,25.19,84.94,6.16,175.07,jute
100.74,17.08,52.53,25.39,88.47,6.43,59.12,watermelon
101.44,31.51,34.43,26.14,63.36,6.6,168.54,coffee
78.86,46.37,38.8,26.22,83.39,6.97,185.47,jute
22.37,129.15,209.79,20.92,90.03,6.48,112.02,apple
79.61,48.78,41.62,24.03,78.01,6.1,172.03,jute
21.95,20.73,11.74,11.7,95.62,6.25,110.42,orange
19.64,17.63,29.26,27.98,59.86,4.95,111.53,mango
32.86,73.88,24.15,20.14,19.49,5.55,115.2,kidneybeans
99.53,19.99,50.0,24.6,91.55,6.02,48.76,watermelon
38.39,84.87,18.54,23.33,43.72,5.78,175.43,pigeonpeas
121.17,47.13,44.81,26.5,77.42,7.78,68.29,cotton
18.26,15.07,10.13,10.04,90.66,6.36,112.21,orange
100.07,19.1,53.15,25.67,91.5,6.38,49.27,watermelon
101.26,18.31,51.03,31.92,88.71,6.92,24.8,muskmelon
118.0,45.79,47.06,24.03,79.28,7.92,70.69,cotton
36.83,69.43,29.75,22.44,18.88,6.51,116.26,kidneybeans
51.89,69.94,94.76,16.09,21.65,7.21,77.13,chickpea
49.66,72.86,22.46,35.81,66.89,6.8,80.21,blackgram
20.29,66.99,22.17,18.19,64.16,7.47,46.26,lentil
80.44,51.27,42.9,26.21,80.03,6.3,185.66,jute
20.24,16.84,42.27,20.9,94.63,6.21,131.73,pomegranate
99.7,19.08,49.7,28.74,88.52,6.76,24.27,muskmelon
19.29,14.38,33.08,26.1,91.36,7.26,145.89,coconut
109.54,79.71,48.27,28.11,86.67,6.25,135.75,banana
103.69,16.32,48.09,30.65,90.31,6.25,23.31,muskmelon
106.68,81.81,48.27,29.35,82.69,6.1,149.72,banana
66.8,60.87,18.46,20.84,63.09,6.69,79.13,maize
21.45,69.44,21.43,22.77,68.99,6.81,43.33,lentil
19.74,130.52,203.09,15.5,84.18,6.58,56.61,grapes
103.24,30.58,32.95,25.58,62.82,6.27,166.64,coffee
43.02,64.51,80.02,21.8,20.17,7.57,64.59,chickpea
23.58,47.84,29.37,26.41,92.64,6.11,98.88,mungbean
19.38,61.95,19.17,23.39,68.93,6.71,46.56,lentil
44.88,78.38,19.81,30.74,69.81,6.44,82.12,blackgram
111.6,82.85,50.24,28.35,77.82,6.44,133.65,banana
78.44,45.99,39.1,25.92,84.11,6.41,173.39,jute
24.98,22.51,33.51,29.84,50.49,4.09,155.42,mango
36.49,47.94,19.88,32.38,57.21,5.85,77.06,mothbeans
36.89,48.63,22.55,34.15,55.02,6.45,98.4,mothbeans
102.55,21.7,49.71,26.24,88.65,6.27,55.53,watermelon
34.12,74.83,20.92,35.08,67.77,6.53,71.84,blackgram
21.14,17.63,10.85,13.55,95.13,7.03,110.18,orange
101.09,18.65,52.44,26.32,85.24,6.59,43.73,watermelon
22.14,128.31,199.26,22.25,92.87,5.66,116.12,apple
23.05,128.68,203.82,23.33,91.86,6.91,111.8,apple
100.0,33.22,30.26,25.04,63.9,6.94,163.11,coffee
43.83,73.23,16.35,30.95,69.9,6.42,82.57,blackgram
102.59,20.46,48.36,24.66,86.92,6.55,42.89,watermelon
118.81,51.03,44.55,26.66,80.98,6.8,76.26,cotton
65.74,59.25,24.87,23.69,58.9,6.45,92.4,maize
49.4,77.3,21.41,33.61,66.43,6.63,80.95,blackgram
18.67,122.58,208.86,13.14,86.32,5.72,63.58,grapes
58.13,64.99,80.44,21.08,18.95,8.33,62.61,chickpea
19.1,125.38,204.21,9.54,87.11,6.56,56.28,grapes
19.69,16.41,33.99,26.63,92.78,7.07,148.43,coconut
109.52,83.9,53.39,26.05,82.52,5.85,140.96,banana
25.93,41.54,20.04,26.27,86.23,6.52,54.75,mungbean
22.57,51.57,26.32,32.01,65.07,6.56,100.0,mothbeans
120.77,51.53,43.32,26.35,82.52,7.74,76.95,cotton
34.05,65.96,19.26,23.47,22.51,5.57,118.0,kidneybeans
119.57,45.45,44.14,25.4,81.45,6.81,71.44,cotton
99.53,18.95,53.38,24.66,86.89,6.24,59.83,watermelon
19.27,17.81,30.97,26.76,89.64,5.34,154.53,coconut
18.49,122.18,200.26,16.96,82.26,6.25,67.73,grapes
23.55,125.48,203.71,22.82,91.36,6.69,116.31,apple
53.72,60.4,49.05,34.13,93.28,6.42,145.78,papaya
81.71,45.73,45.91,20.21,80.37,6.73,236.02,rice
102.12,16.03,49.3,24.3,87.54,6.5,40.87,watermelon
103.97,27.08,31.79,26.72,64.4,6.51,160.87,coffee
